k,t_k,bond,E_dV_over_V,MC_SE_dV_over_V,E_r_dt,MC_SE_r_dt,residual,residual_bp_per_month,z_stat
42,3.5,B,0.0033380117042263904,4.5415415212410994e-05,0.003300769968832937,8.29878834999398e-06,3.724173539345352e-05,0.37241735393453523,0.820024108978667
43,3.583333333333333,B,0.003317234059540726,4.614704910072354e-05,0.00330044185018347,8.315772242348013e-06,1.6792209357256206e-05,0.16792209357256205,0.3638847918662024
44,3.6666666666666665,B,0.003366838211924572,4.573490531820606e-05,0.003301226738419516,8.305441949141474e-06,6.561147350505605e-05,0.6561147350505605,1.4346038993315149
45,3.75,B,0.0032872678252277516,4.526096304626509e-05,0.0032993652354892035,8.332689777458864e-06,-1.2097410261451957e-05,-0.12097410261451957,-0.2672813269369934
46,3.833333333333333,B,0.003324788112933547,4.456727682235727e-05,0.003301736170433123,8.318063942089686e-06,2.305194250042412e-05,0.23051942500424122,0.517239197546395
47,3.9166666666666665,B,0.0032752540472881604,4.503848986211839e-05,0.003302116828291351,8.36132913226112e-06,-2.6862781003190832e-05,-0.26862781003190833,-0.5964405353161044
48,4.0,B,0.0033385645492958324,4.5291277385192666e-05,0.003305182996720027,8.316154254239964e-06,3.338155257580529e-05,0.33381552575805284,0.7370415343312642
49,4.083333333333333,B,0.003378790114732433,4.4462526923526156e-05,0.0033048454658488003,8.292570400696155e-06,7.394464888363286e-05,0.7394464888363286,1.663077966999375
50,4.166666666666666,B,0.0033355866480339847,4.450442159330257e-05,0.0033022793006335393,8.300450282067173e-06,3.330734740044543e-05,0.3330734740044543,0.7484053540751515
51,4.25,B,0.0033265932379106674,4.4138385694137107e-05,0.003302036957301007,8.275406051992114e-06,2.4556280609660305e-05,0.24556280609660305,0.5563475016922087
52,4.333333333333333,B,0.003346229769871068,4.378724619029416e-05,0.0033023159829565444,8.304217774003751e-06,4.3913786914523585e-05,0.43913786914523584,1.0028898991199287
53,4.416666666666666,B,0.0033267065903347095,4.330388760899972e-05,0.0033014869424105872,8.336305514137581e-06,2.5219647924122277e-05,0.2521964792412228,0.5823876172928397
54,4.5,B,0.0033338723992782284,4.337150188577042e-05,0.0033017124204684657,8.3241773746482e-06,3.215997880976276e-05,0.3215997880976276,0.7415002342889583
55,4.583333333333333,B,0.003333340116787889,4.305722941681908e-05,0.0033015321962501605,8.317912887882912e-06,3.1807920537728525e-05,0.31807920537728523,0.7387358863667077
56,4.666666666666666,B,0.003322110172414505,4.276783040001568e-05,0.0033013867215179286,8.338620839309716e-06,2.072345089657642e-05,0.20723450896576423,0.48455698366613476
57,4.75,B,0.003338661516539271,4.251973753752456e-05,0.0033018685307544685,8.35130119935155e-06,3.679298578480265e-05,0.36792985784802645,0.8653154491448134
58,4.833333333333333,B,0.003363371537127907,4.232103665190901e-05,0.0033013901183372866,8.362034285572959e-06,6.198141879062025e-05,0.6198141879062026,1.4645534158441842
59,4.916666666666666,B,0.0033338406020579363,4.1710682975545244e-05,0.003299446375737234,8.339859277103297e-06,3.439422632070229e-05,0.34394226320702287,0.8245903415407377
60,5.0,B,0.0033856152006184544,4.21075095931088e-05,0.003299195865554371,8.352920482322963e-06,8.641933506408359e-05,0.8641933506408359,2.0523497090938556
61,5.083333333333333,B,0.0032829033267208515,4.167430208420643e-05,0.003295901849310036,8.387096307161159e-06,-1.2998522589184342e-05,-0.12998522589184341,-0.3119073851055678
62,5.166666666666666,B,0.003318228488642109,4.0813515940346196e-05,0.0032985680663624355,8.360874280377015e-06,1.966042227967337e-05,0.19660422279673373,0.48171351638534193
63,5.25,B,0.0032409783401761943,4.100401164894523e-05,0.0032991780641919263,8.359076725999614e-06,-5.8199724015732014e-05,-0.5819972401573201,-1.4193665857381814
64,5.333333333333333,B,0.0033225330655100777,4.0916789357896144e-05,0.003304461266686723,8.343553842554464e-06,1.8071798823354832e-05,0.18071798823354832,0.44167196661698305
65,5.416666666666666,B,0.0032612289608375754,4.002522387839466e-05,0.0033049221275833485,8.350634365350908e-06,-4.3693166745773036e-05,-0.4369316674577304,-1.09164078328512
66,5.5,B,0.003261958839275418,4.017961230253909e-05,0.0033090910958007706,8.294596549481517e-06,-4.7132256525352686e-05,-0.47132256525352684,-1.173039106760476
67,5.583333333333333,B,0.00334215084060376,3.963974220229213e-05,0.003313387486332314,8.324561083601396e-06,2.8763354271446172e-05,0.28763354271446173,0.725619105307475
68,5.666666666666666,B,0.0033145349412012216,3.9657426556463596e-05,0.003312815539863316,8.36082636350509e-06,1.7194013379054698e-06,0.0171940133790547,0.04335635181615767
69,5.75,B,0.003376106124691509,3.852676627504478e-05,0.0033139324305522765,8.36149843047281e-06,6.217369413923264e-05,0.6217369413923264,1.613779202110322
70,5.833333333333333,B,0.003346072687032955,3.845483540789653e-05,0.0033112091036542218,8.402261434293488e-06,3.4863583378733336e-05,0.34863583378733337,0.906611171493254
71,5.916666666666666,B,0.0032865718998052536,3.832536636257516e-05,0.003310249003232375,8.36019397915863e-06,-2.3677103427121194e-05,-0.23677103427121193,-0.617791965851681
72,6.0,B,0.0033055207409340283,3.846997625891056e-05,0.0033131082349373096,8.354958775927092e-06,-7.5874940032812956e-06,-0.07587494003281295,-0.19723157488364323
73,6.083333333333333,B,0.003252532184674259,3.7499511323958206e-05,0.0033148339259016597,8.364553016635008e-06,-6.230174122740049e-05,-0.6230174122740049,-1.6614014163858262
74,6.166666666666666,B,0.0033517759923315195,3.727265655653283e-05,0.0033200755707753233,8.388354584576041e-06,3.170042155619616e-05,0.31700421556196157,0.8505007285465404
