t,mean_em,mean_exact,mean_analytic,var_em,var_exact,var_analytic,mean_err_em_bp,mean_err_exact_bp,var_err_em_rel,var_err_exact_rel
2.6666666666666665,0.039277403713924845,0.0392565721494897,0.039261928013275965,9.58543487866487e-05,9.346389874749767e-05,9.305165487771986e-05,0.15475700648880097,-0.05355863786263293,0.030119764260097173,0.004430269083548798
2.75,0.03930902208470212,0.039288391112978105,0.039292049131746706,9.57325896991305e-05,9.337471834366205e-05,9.360721387932925e-05,0.16972952955413012,-0.0365801876860139,0.022705256696787367,-0.002483735238257479
2.833333333333333,0.03938039186986882,0.03935913944302037,0.03932094099102018,9.694131519771143e-05,9.457173442808172e-05,9.411835283575701e-05,0.5945087884863531,0.3819845200019045,0.029993750176234804,0.004817143295270869
2.9166666666666665,0.03940518158621263,0.03938428705608816,0.03934865375783158,9.718173606958177e-05,9.482762070608876e-05,9.458862337771785e-05,0.5652782838105191,0.3563329825657935,0.027414636129219478,0.0025267026819549886
3.0,0.039406670332691345,0.03938659628004813,0.0393752355515844,9.862519887404404e-05,9.624512281256845e-05,9.50212931632136e-05,0.3143478110694681,0.11360728463735703,0.037927348606382055,0.012879530562194402
3.083333333333333,0.03941058512528316,0.039391248394364003,0.039400732527903146,9.829640313823431e-05,9.595389907939292e-05,9.541936858273786e-05,0.09852597380011208,-0.09484133539142126,0.030151473419170474,0.005601907711132777
3.1666666666666665,0.03945185068619574,0.039432456399108945,0.03942518895877625,9.840740153234475e-05,9.608363978167963e-05,9.578561564907236e-05,0.26661727419489967,0.07267440332692221,0.02737139460352549,0.0031113662587828393
3.25,0.03945559959899339,0.039436918421975324,0.03944864730942826,0.00010017380280832491,9.781661003549555e-05,9.61225792168278e-05,0.0695228956513333,-0.11728887452933101,0.04214643036532118,0.017623651305136576
3.333333333333333,0.03951551839262697,0.039496371092912694,0.039471148312054824,0.00010119970875345923,9.883169865605945e-05,9.643260066527476e-05,0.44370080572148085,0.25222780857869775,0.04943461086081752,0.024878495179365242
3.4166666666666665,0.03951365817072408,0.039495328942669834,0.03949273103654862,0.00010108138920247106,9.873482913799857e-05,9.67178341673337e-05,0.20927134175459383,0.025979061212128007,0.04511634356480611,0.020854426570132107
