k,t_k,bond,E_dV_over_V,MC_SE_dV_over_V,E_r_dt,MC_SE_r_dt,residual,residual_bp_per_month,z_stat
61,5.083333333333333,A,0.003301692151035418,8.414870143223011e-06,0.003295901849310036,8.387096307161159e-06,5.7903017253819675e-06,0.057903017253819675,0.6881035151855833
62,5.166666666666666,A,0.0033043649704974968,8.388536748654708e-06,0.0032985680663624355,8.360874280377015e-06,5.796904135061277e-06,0.05796904135061277,0.6910506931963958
63,5.25,A,0.003304976833512018,8.386741948996662e-06,0.0032991780641919263,8.359076725999614e-06,5.7987693200915735e-06,0.057987693200915735,0.6914209779383164
64,5.333333333333333,A,0.00331027620951624,8.371182274430487e-06,0.003304461266686723,8.343553842554464e-06,5.814942829516969e-06,0.05814942829516969,0.6946381811895949
65,5.416666666666666,A,0.0033107391894862254,8.378307152248961e-06,0.0033049221275833485,8.350634365350908e-06,5.817061902876897e-06,0.058170619028768966,0.6943003875568636
66,5.5,A,0.0033149172888867584,8.32207888837032e-06,0.0033090910958007706,8.294596549481517e-06,5.826193085987745e-06,0.05826193085987745,0.7000886634383571
67,5.583333333333333,A,0.0033192304293292708,8.3521978202112e-06,0.003313387486332314,8.324561083601396e-06,5.842942996956823e-06,0.05842942996956823,0.699569517237449
68,5.666666666666666,A,0.0033186596201085364,8.388588341598091e-06,0.003312815539863316,8.36082636350509e-06,5.844080245220266e-06,0.05844080245220266,0.6966702867322875
69,5.75,A,0.003319780272438598,8.389202433904355e-06,0.0033139324305522765,8.36149843047281e-06,5.847841886321738e-06,0.05847841886321738,0.6970676810334326
70,5.833333333333333,A,0.0033170513363404742,8.430086294823518e-06,0.0033112091036542218,8.402261434293488e-06,5.842232686252471e-06,0.05842232686252471,0.6930216941954539
71,5.916666666666666,A,0.0033160845155312912,8.387905431984115e-06,0.003310249003232375,8.36019397915863e-06,5.835512298916438e-06,0.05835512298916438,0.695705542490371
72,6.0,A,0.003318952795175727,8.382724512673592e-06,0.0033131082349373096,8.354958775927092e-06,5.844560238417364e-06,0.058445602384173644,0.6972148768077905
73,6.083333333333333,A,0.0033206850185266766,8.392320900918624e-06,0.0033148339259016597,8.364553016635008e-06,5.851092625016891e-06,0.05851092625016891,0.6971960074091578
74,6.166666666666666,A,0.003325946082482258,8.416220266190941e-06,0.0033200755707753233,8.388354584576041e-06,5.870511706934905e-06,0.05870511706934905,0.6975235344680223
75,6.25,A,0.0033248026262777466,8.454479299573986e-06,0.003318932699788155,8.426464014627135e-06,5.86992648959157e-06,0.0586992648959157,0.6942978132180595
76,6.333333333333333,A,0.0033252127108410645,8.44024607988968e-06,0.0033193426224427396,8.412228862813327e-06,5.870088398324952e-06,0.05870088398324952,0.6954878261560922
77,6.416666666666666,A,0.0033300698083494245,8.458237558430365e-06,0.003324182107665329,8.430061646884716e-06,5.887700684095373e-06,0.05887700684095373,0.6960907214325134
78,6.5,A,0.003329367446407394,8.483554116087978e-06,0.003323479944883351,8.455320505387078e-06,5.887501524042774e-06,0.05887501524042774,0.6939899767808257
79,6.583333333333333,A,0.0033281944666267954,8.51125918029705e-06,0.00332230851517122,8.482985361808083e-06,5.885951455575529e-06,0.05885951455575529,0.6915488449935917
