t,mean_em,mean_exact,mean_analytic,var_em,var_exact,var_analytic,mean_err_em_bp,mean_err_exact_bp
1.0,0.038114559238183555,0.03833121734723168,0.038301714152804624,0.00015714862570904734,0.0001554698759632357,0.00015326960338759449,-1.8715491462106826,0.29503194427057955
1.0833333333333333,0.03819083387755629,0.03838065243721008,0.03837102212021253,0.0001658211177323439,0.00016241859135319891,0.00016063253514722012,-1.8018824265624012,0.09630316997549793
1.1666666666666665,0.038300867140343635,0.03845144834809984,0.038437501591843865,0.00017459203385365474,0.00016800988384878683,0.0001674414865985637,-1.3663445150022961,0.139467562559753
1.25,0.03832407109831488,0.03852690027403006,0.038501268000146825,0.0001808534249791187,0.00017592483709879378,0.00017373933432513996,-1.7719690183194692,0.2563227388323319
1.3333333333333333,0.038419888380783064,0.03859264643784123,0.03856243206670874,0.00018725982913423388,0.00018147780585605366,0.0001795655845263135,-1.4254368592567928,0.30214371132486484
1.4166666666666665,0.03852545912284546,0.038686446711451654,0.03862109999450885,0.00019081104985396133,0.00018761962547969956,0.00018495664013792892,-0.956408716633883,0.6534671694280458
1.5,0.03869827856367244,0.03871568129362785,0.03867737365232516,0.00019537651864576675,0.00019488088431148312,0.00018994604669148371,0.20904911347277566,0.3830764130269282
1.5833333333333333,0.03872908993746924,0.038749518873363635,0.038731350751615524,0.00019930330687486738,0.00019920467649766688,0.00019456471860788594,-0.022608141462820974,0.18168121748110555
1.6666666666666665,0.038767390248467676,0.038760071275898485,0.03878312501618018,0.00020255951198958045,0.00020353867134048214,0.0001988411474863887,-0.15734767712501097,-0.2305374028169216
1.75,0.038798298536547114,0.038797618242166654,0.03883278634490018,0.00020672068205962763,0.00020812328365330823,0.00020280159382467223,-0.34487808353064753,-0.35168102733525164
1.8333333333333333,0.038886289867215394,0.038858456219404834,0.03888042096783443,0.00021014265351505614,0.0002091082650136112,0.00020647026349137528,0.05868899380964687,-0.21964748429595393
1.9166666666666665,0.03891928119816333,0.038983635445224686,0.038926111595946326,0.0002138853517705376,0.00021510890762278567,0.0002098694701668753,-0.0683039778299338,0.5752384927835974
2.0,0.039005305490150646,0.03908800464519068,0.03896993756471996,0.00021734673451703383,0.00022134203580098706,0.0002130197848710429,0.353679254306849,1.1806708047071983
