t,mean_gap_bp,p05_bp,p95_bp,abs_mean_gap_bp
5.25,-2.270605539292978,-368.9467532933233,358.047910727358,173.01504743252147
5.333333333333333,-2.6274311078829102,-369.3337514381846,362.5786343507513,172.6813171665111
5.416666666666666,-2.3947560473429617,-367.9687676745463,363.48281815910474,172.31189968933253
5.5,-1.7052119643095254,-368.5364547229353,366.3607716593197,172.8385244680172
5.583333333333333,-1.1246474542864184,-364.95638541170314,360.1792374343659,173.103375723349
5.666666666666666,-1.2514181645335998,-361.65458038209727,358.08534683615466,172.84768628761685
5.75,-0.5539702014601116,-367.2082635648817,366.17496382569044,174.32592365742008
5.833333333333333,-1.0441385398506444,-365.63380560623193,367.9190290553297,174.6679113055447
5.916666666666666,-1.1063019310466398,-370.64244710940227,367.57552904179204,175.27229542658705
6.0,-0.20282880004175377,-366.2882038838257,367.8482610465977,174.45443151578115
6.083333333333333,-1.5076918084658164,-372.01181440091835,363.4777289965303,175.3579929148549
6.166666666666666,-0.7660009822847101,-371.66309860998626,369.8359383659954,176.01682152636064
6.25,-1.1352991320714783,-378.3992632464683,363.69903540432387,176.6153008679076
6.333333333333333,-0.513367533500972,-376.16838030064645,366.67994245421727,176.88782805889215
6.416666666666666,-0.360475579747382,-374.23863435555904,362.8280925773845,176.68791416842538
6.5,0.03780414786991297,-370.0184095399544,362.95079687116845,177.0259549844359
6.583333333333333,1.4448586422692433,-373.65360476342624,366.3881865344685,176.97946188541547
6.666666666666666,1.70104548067667,-372.73921864683575,373.73254500163654,178.17360264612643
6.75,1.5951975814605552,-371.1123529335434,370.563420817214,177.29924857679225
6.833333333333333,1.8121129659760733,-369.48313296561844,378.2706606543393,177.0278171283828
6.916666666666666,1.4475677728086356,-371.0876224484303,374.07717954977244,176.6902192976009
7.0,0.4889137164498309,-369.52735418863557,369.67672095548403,177.9650312467785
7.083333333333333,0.021309503796415608,-372.6362327795076,380.5510492365866,177.58310822995475
7.166666666666666,0.1366353025075645,-377.0416270780528,375.28424762358895,176.8634468838487
7.25,0.6227665045003163,-379.0490011481181,372.1836606165104,177.15552295664517
7.333333333333333,0.08610492863825844,-377.13636735748145,374.16980587114443,178.01086294361608
7.416666666666666,-0.10402222843100625,-376.6841291679504,370.74578744930614,177.3216681278422
7.5,0.6246733840703513,-375.26578716580485,372.41401032896624,176.7952831206618
7.583333333333333,0.6876946522877853,-370.31286984173164,370.05662404006034,177.49801039049265
7.666666666666666,1.3475311552898541,-369.45534313114655,373.55798187920175,177.5167145894374
7.75,2.1352695035606475,-369.2398064624088,375.2094124888507,178.10656151518975
7.833333333333333,1.4111237859466965,-369.1900197694145,374.51881585060534,178.27369138966912
7.916666666666666,1.5852481053458294,-368.2575673437363,373.54008547836736,177.68281671326667
8.0,2.464780598455925,-367.9093113004832,373.45134470827696,177.57418689391417
8.083333333333332,2.429081015214528,-365.4456665555343,374.000990482063,177.54516802855892
8.166666666666666,2.820406489849405,-364.4472638020365,377.4812970517551,178.22939445867613
8.25,3.7804952160472873,-363.640634196413,377.75225891525037,177.87805606568944
8.333333333333332,4.362904416601604,-366.92113021784934,374.2202758197135,177.9662866852948
8.416666666666666,4.139080027157422,-367.7586178262873,378.36230363547503,176.9953287843852
8.5,3.9781674856333757,-370.5755984656612,377.0900576424159,176.71348484840382
8.583333333333332,3.193760576741908,-369.00590306141635,370.2953848831803,177.2302033447077
8.666666666666666,2.5206224200678453,-368.5511400160011,375.95310872118534,177.04540299571443
8.75,2.927612841221417,-369.32706312063493,373.8806617339233,176.32558276642322
8.833333333333332,2.4331769934028387,-369.38987468079375,376.4892146051748,176.18135701038685
8.916666666666666,2.6915629722189087,-370.80585884461635,377.2588752189464,176.26462156372165
9.0,2.5507431729794465,-366.9720200833781,373.96913493259217,176.4689681725199
9.083333333333332,2.9378187671248335,-372.74649317490054,372.8996688927277,176.431340847638
9.166666666666666,3.04575901212457,-373.3135198098123,372.71904772736576,175.99953585941302
9.25,2.644777682814549,-374.68546909409076,366.7078740410731,176.60164861821698
9.333333333333332,3.1248763979406458,-373.1604326017561,371.4846784721139,176.41340863275033
9.416666666666666,2.591820995916194,-375.7019540262784,370.86894723976144,177.09165472129513
9.5,2.459268096447692,-372.3111083034246,371.87485755282637,177.1954807484589
9.583333333333332,1.8948696472391908,-368.37745421385256,371.0641201281698,177.3945301661831
9.666666666666666,1.519249062510624,-368.2823433323692,373.372711293079,177.0318145373448
9.75,1.4852807349564363,-375.38171579565017,369.958066187103,177.5231358688721
9.833333333333332,0.842378246791177,-375.02016333655575,373.5137730852245,178.22424633190258
9.916666666666666,0.9979761701547245,-377.67738583479644,374.94302138254625,178.65437084262578
10.0,0.35855104026466667,-373.1042567854649,377.21158224674804,178.37366362912306
